name,calories,carbs,fat,category
Broccoli Cheddar Soup,340,19,26,Soups
"California Shrimp Salad, Half",500,16,42,Salads
Cheesy Corn,350,28,20,Sides
Chicken Parmesan Stack,1690,130,95,Chicken
Chips and Spicy Chipotle Lime Salsa,960,106,53,Appetizers
"Classic Wings, Sweet & spicy sauce",690,32,35,Appetizers
Fiesta Lime Chicken®,1160,94,67,Chicken
"Fried Chicken Salad, Regular",980,50,79,Salads
"Grilled Chicken Caesar, Regular",820,25,57,Salads
Hand-Battered Fish Sandwich,860,63,58,Sandwiches
Kids Cheese Pizza,550,44,31,Kid's Meals
Kids Hot Fudge Sundae,350,45,18,Kid's Meals
Kids Pasta with Marinara Sauce,360,60,7,Kid's Meals
Mozzarella Sticks,940,84,48,Appetizers
Oriental Grilled Chicken Salad,430,36,21,Salads
Pork Wonton Tacos,820,68,41,Appetizers
Riblet and Chicken Tenders Platter,1800,136,101,Chicken
Sizzling Apple Pie,900,145,33,Desserts
Slow Simmered Tender Beef Sandwich,980,101,50,Sandwiches
Steak & Riblets Combo,985,39,49,Entrees
Tomato Basil Soup,220,22,13,Soups
"Trios Boneless Wings, Hot Buffalo",590,33,35,Appetizers
"Trios Classic Wings, Sweet & spicy sauce",350,16,18,Appetizers
Veggie Burger,550,60,22,Burgers
Zesty Ranch Chicken Sandwich,1150,76,73,Sandwiches
Applebee’s Limeades,130,59,0,Drinks
Baked Potato Soup,420,27,32,Soups
"Boneless Wings, Sweet & spicy sauce",1150,90,55,Appetizers
"Bruschetta Chicken Salad, Regular",1110,67,66,Salads
Cheeseburger,940,52,58,Burgers
Chicken Fried Chicken,1230,112,59,Chicken
Chili,310,10,26,Soups
"Classic Wings, Classic Buffalo",710,8,49,Appetizers
Decadent Shakes,915,109,46,Shakes
"Fresh Fruit, Side",90,24,0,Sides
Garlic Herb Salmon,690,61,29,Seafood
"Grilled Shrimp ‘N Spinach Salad, Half",620,33,44,Salads
"Grilled Steak Caesar, Regular",910,25,68,Salads
Kids 4oz Sirloin Steak,140,0,7,Kid's Meals
Kids Grilled Cheese (Hawaiian bread),610,51,36,Kid's Meals
Kids Mini Hamburger – 2,660,46,40,Kid's Meals
Loaded Baked Potato,500,42,35,Sides
"Oriental Chicken Salad, Half",670,42,49,Salads
"Pecan-Crusted Chicken Salad, Half w/o dressing",580,53,31,Salads
Queso Blanco with chili,1440,118,89,Appetizers
"Seasonal Vegetables, Side",42,8,0,Sides
Sizzling Skillet Fajitas - Shrimp,1400,151,65,Entrees
Spinach Salad,230,19,15,Salads
Teriyaki Shrimp Pasta,440,74,8,Entrees
Topper - Sautéed Garlic Mushrooms,130,4,12,Sides
"Trios Classic Wings, Classic Buffalo",360,4,24,Appetizers
Trios Steak Quesadilla Towers,560,37,38,Appetizers
Weight Watchers® Steak & Potato Salad,380,32,12,Salads
Add Grilled Shrimp,230,2,17,Sides
Applebee’s Reuben,630,25,47,Sandwiches
BBQ Pulled Pork Sliders,1030,90,48,Burgers
Bourbon Street Steak,760,35,44,Entrees
Caesar Salad,220,8,19,Salads
Cheeseburger Sliders add bacon,1330,83,87,Burgers
Chicken Noodle Soup,160,17,4,Soups
"Chili Cheese Fries, Side",550,59,33,French Fries
"Classic Wings, Hot Buffalo",720,9,49,Appetizers
Double-Glazed Baby Back Ribs,1345,95,72,Ribs
"Fried Chicken Salad, Half",530,26,42,Salads
"Grilled Chicken Caesar, Half",410,12,29,Salads
"Grilled Shrimp ‘N Spinach Salad, Regular",1010,63,69,Salads
Hamburger,790,50,46,Burgers
Kids Applesauce side,50,27,0,Kid's Meals
Kids Grilled Chicken Sandwich,230,23,5,Kid's Meals
Kids OREO® Cookie Milkshake,780,97,41,Kid's Meals
Maple Butter Blondie,1100,115,63,Desserts
"Oriental Chicken Salad, Regular",1340,85,98,Salads
"Pecan-Crusted Chicken Salad, Regular w/o dressing",880,76,46,Salads
Ribeye,670,3,47,Entrees
Shrimp Fettuccine Alfredo,143,113,81,Entrees
Sizzling Smokehouse Chicken Stack,1170,78,59,Entrees
Steak & Grilled Shrimp Combo,540,2,36,Entrees
Three-Cheese Chicken Penne,1460,127,75,Entrees
"Trios Boneless Wings, Classic Buffalo",580,33,35,Appetizers
"Trios Classic Wings, Hot Buffalo",360,4,25,Appetizers
Trios Wings Ranch Dipping Sauce,200,1,21,Appetizers
Wings Ranch Dipping Sauce,200,1,21,Appetizers
Add Fried Shrimp,390,35,21,Sides
Applebee’s Reuben,1140,49,81,Sandwiches
Baked Potato Soup,360,20,28,Soups
Bourbon Street Chicken & Shrimp,750,31,45,Entrees
"Bruschetta Chicken Salad, Regular w/o dressing",790,56,36,Salads
Cheeseburger Sliders,1270,82,82,Burgers
"Chicken Fried Steak (includes mashed potato, gravy & vegetable)",1260,118,61,Entrees
Chili,370,16,28,Soups
"Classic Wings, Honey BBQ",790,59,35,Appetizers
Double Crunch Shrimp,1280,133,69,Seafood
Fried Chicken Salad,380,20,27,Salads
Garlic Mashed Potatoes,330,38,18,Sides
"Grilled Shrimp ‘N Spinach Salad, Half w/o dressing",460,12,35,Salads
"Grilled Steak Caesar, Regular w/o dressing",460,21,21,Salads
Kids Apple Juice (6.75 oz),70,17,0,Kid's Meals
Kids Grilled Cheese (sourdough bread),630,54,36,Kid's Meals
Kids Orange-Tangerine Juice (6.75 oz),70,17,0,Kid's Meals
Loaded Mashed Potatoes,550,41,42,Sides
"Oriental Chicken Salad, Half w/o dressing",340,25,20,Salads
"Pecan-Crusted Chicken Salad, Regular",1350,114,80,Salads
Red Beans & Rice,290,48,6,Sides
Shrimp ‘N Parmesan Sirloin,660,4,42,Entrees
Sizzling Skillet Fajitas - Steak,1410,152,55,Entrees
Steak & Fried Shrimp Combo,650,37,34,Entrees
Three-Cheese Chicken Penne,940,77,49,Entrees
Topper - Shrimp ‘N Parmesan,230,4,15,Sides
"Trios Classic Wings, Honey BBQ",400,29,17,Appetizers
Trios Wings Bleu Cheese Dipping Sauce,240,1,26,Appetizers
Wings Bleu Cheese Dipping Sauce,240,1,26,Appetizers
"Apple Walnut Chicken Salad, Half w/o dressing",350,15,20,Salads
Asiago Peppercorn Steak,380,25,14,Entrees
Blue Ribbon Brownie,1310,176,63,Desserts
Broccoli Cheddar Soup,280,12,23,Soups
"California Shrimp Salad, Half w/o dressing",330,14,23,Salads
Chicken Broccoli Pasta Alfredo,1350,111,72,Entrees
Chicken Quesadilla Grande,1290,90,90,Appetizers
Chocolate Chip Cookie Sundae,154,210,74,Desserts
Cole Slaw,140,15,9,Sides
Fire Pit Bacon Burger,1100,53,73,Burgers
"Fried Chicken Salad, Regular w/o dressing",540,23,42,Salads
"Grilled Chicken Caesar, Regular w/o dressing",370,21,10,Salads
Honey BBQ Chicken Sandwich,1000,87,42,Sandwiches
Kids Chicken Tenders,240,11,14,Kid's Meals
Kids Kraft Macaroni and Cheese,300,45,9,Kid's Meals
