name,calories,carbs,fat,category
T-Bone Steak & Eggs 12 oz,1250,74,68,Breakfast
Quick Two-Egg Breakfast,1080,105,61,Breakfast
Add (4) Bacon Strips,150,1,12,Breakfast
Add Top Sirloin Steak,280,0,11,Breakfast
"Create Your Own Viva La French Toast Combo, Whole Wheat",900,88,45,Breakfast
Strawberry Banana Danish Fruit Crepes,970,106,57,Breakfast
Cinnamon Swirl French Toast Combo,1210,102,75,Breakfast
"Pick-A-Pancake Combo, Harvest Grain ‘N Nut®",1020,81,64,Breakfast
Add (2) Canadian Style Bacon Slices,120,2,5,Breakfast
Add (2) Taylor Ham® Slices,360,2,32,Breakfast
Chocolate Chip Pancakes (4),720,112,24,Breakfast
House Salad,90,15,3,Salads
1/2 Pot Roast Melt Sandwich,520,42,27,Sandwiches
Double BLT,660,39,45,Sandwiches
Bacon’N Beef™ Bacon & Egg Cheeseburger w/Bacon Patty,1010,50,66,Burgers
Seasonal Fresh Fruit,80,21,0,Sides
Chicken Fajita Quesadilla,1070,70,59,Appetizers
Crispy Chicken Salad w/Fried Chicken,1460,93,95,Salads
Chicken Fajita Salad,790,49,44,Salads
Grilled Tilapia Hollandaise,810,46,46,Entrees
Savory Pork Chops,620,41,23,Entrees
House Salad,90,15,3,Salads
"Senior Omelette, Plain w/Egg Substitute",420,47,17,Breakfast
Senior Smokehouse Combo,860,58,59,Entrees
Funny Face® (Chocolate),480,62,22,Kid's Meals
Crispy Chicken Strips,290,37,10,Kid's Meals
"Coffee, Full Carafe",25,5,0,Coffee
"Apple Juice, Carafe",480,116,0,Drinks
"Premium Orange Juice, 12 fl oz (Kid’s Cup)",140,33,0,Drinks
Hot Chocolate,290,35,13,Drinks
Nutella Breakfast with (2) Bacon Strips,930,82,55,Breakfast
"Truffula Chip Pancakes, Full Order (4)",770,127,19,Kid's Meals
Colorado Omelette,1120,24,82,Breakfast
"Avocado, Bacon & Cheese Omelette",840,17,65,Breakfast
(3) Harvest Grain ‘N Nut® Pancakes,700,71,39,Breakfast
T-Bone Steak & Eggs 16 oz,1250,73,58,Breakfast
SIMPLE & FIT Two-Egg Breakfast,350,48,8,Breakfast
Chicken Fried Chicken & Eggs w/Country Gravy,1240,105,69,Breakfast
"Two Eggs, Hash Browns & Toast",1080,105,61,Breakfast
"Create Your Own Viva La French Toast Combo, CINN-A-STACK®",1300,121,73,Breakfast
Nutella® Crepes,910,109,48,Breakfast
"Stuffed French Toast, Full Order",900,120,39,Breakfast
"Pick-A-Pancake Combo, Cinnamon Apple",890,94,45,Breakfast
Add Corned Beef Hash,300,18,20,Breakfast
Add Top Sirloin Steak,280,0,11,Breakfast
CINN-A-STACK® Pancakes (4),890,138,29,Breakfast
Side Caesar Salad,440,13,40,Salads
1/2 Double BLT Sandwich,390,21,28,Sandwiches
Ham & Egg Melt,1070,77,56,Sandwiches
Bacon’N Beef™ Bacon & Egg Cheeseburger w/Beef Patty,970,48,63,Burgers
Dill Pickle Spear,5,1,0,Sides
Steak Fajita Quesadilla,1060,71,61,Appetizers
Crispy Chicken Salad w/Grilled Chicken,1270,59,91,Salads
Chicken Fajita Salad w/Avocado,870,54,52,Salads
SIMPLE & FIT Grilled Tilapia,490,27,23,Entrees
Smoked Sausage,830,40,64,Entrees
Garlic Bread,150,15,8,Sides
Senior Sampler,780,57,51,Breakfast
Senior Crispy Chicken Strips,900,87,49,Entrees
Funny Face® (Buttermilk),450,57,20,Kid's Meals
Cheeseburger,490,42,28,Kid's Meals
"Cranberry Juice, 10 fl oz",130,33,0,Drinks
"Premium Orange Juice, 16 fl oz",190,46,0,Drinks
"Iced Tea, 10 fl oz",5,2,0,Drinks
Herbal Tea,0,2,0,Drinks
Nutella Breakfast with (2) Sausage Links,1030,83,65,Breakfast
"Truffula Chip Pancakes, Side Order (2)",430,71,10,Kid's Meals
Bacon Temptation Omelette,980,17,75,Breakfast
(3) Cinnamon Apple Pancakes,510,86,13,Breakfast
T-Bone Steak & Eggs 10 oz,1220,76,67,Breakfast
Thick-Cut Bone-In Ham & Eggs,1170,88,61,Breakfast
Add (4) Pork Sausage Links,350,3,32,Breakfast
"Create Your Own Viva La French Toast Combo, Cinnamon Apple",1180,109,66,Breakfast
Belgian Waffle w/Butter,420,47,23,Breakfast
Cheese Blintzes,1000,66,69,Breakfast
"Pick-A-Pancake Combo, Strawberry Banana",970,114,45,Breakfast
Three Eggs & Pancakes w/Hash Browns,1130,104,62,Breakfast
Add Side of Spam®,350,4,30,Breakfast
Double Blueberry Pancakes (4),800,144,17,Breakfast
Bacon & Cheddar Stuffed Crepes,1130,43,82,Breakfast
1/2 Turkey Sandwich,290,15,18,Sandwiches
Turkey & Bacon Club Sandwich,730,50,39,Sandwiches
Bacon’N Beef™ Cheeseburger w/Beef Patty,780,46,50,Burgers
Onion Rings,620,70,34,Sides
House Salad,90,15,3,Salads
"Grilled Chicken Caesar Salad, No Chicken",870,39,71,Salads
Side Caesar Salad,440,13,40,Salads
Country/Chicken Fried Steak Dinner w/Sausage Gravy,940,88,46,Entrees
Grilled Liver,810,63,39,Entrees
Side Caesar Salad,440,13,40,Salads
"Senior Omelette, Plain",550,51,30,Breakfast
Senior Rooty,370,25,22,Entrees
"Coffee, Cup",5,1,0,Coffee
"Apple Juice, 16 fl oz",210,51,0,Drinks
"Premium Orange Juice, 10 fl oz",110,26,0,Drinks
"Milk Shake, Vanilla",490,60,24,Shakes
Hash Brown Crusted Chicken with Sausage Gravy,890,62,52,Breakfast
The Lorax's Breakfast with (2) Buttermilk Pancakes,1060,86,58,Kid's Meals
Country Omelette,1140,50,80,Breakfast
(3) New York Cheesecake Pancakes,850,118,34,Breakfast
SIMPLE & FIT Veggie Omelette w/Fresh Fruit,320,40,10,Breakfast
Biscuits & Gravy Combo w/Sausage Gravy,1530,105,103,Breakfast
Add Biscuits with Sausage Gravy & (4) Pork Sausage Links,900,63,62,Breakfast
Add Flour Tortillas,280,47,6,Breakfast
Pigs In Blankets,980,95,54,Breakfast
"Create Your Own Viva La French Toast Combo, Blueberry",1200,112,66,Breakfast
Belgian Waffle Combo,640,50,39,Breakfast
"International Crepe Passport, German",930,40,69,Breakfast
"Pick-A-Pancake Combo, Chocolate Chip",910,92,49,Breakfast
SIMPLE & FIT Two x Two x Two,400,48,12,Breakfast
Add (1) Portuguese Sausage Link,380,2,34,Breakfast
Add (2) Pork Chops,210,2,6,Breakfast
Garden Stuffed Crepes,1050,51,75,Breakfast
Chicken Tortilla Soup,190,23,7,Soups
Broccoli Cheese Soup,340,19,23,Soups
Patty Melt,920,42,66,Sandwiches
Monster Bacon’N Beef™ Cheeseburger w/Beef Patty,1190,46,80,Burgers
Broccoli Cheese Soup,340,19,23,Soups
Wings,680,15,44,Appetizers
Thick-Cut Bone-In Ham Dinner,680,73,25,Entrees
Chicken Fried Chicken w/Country Gravy,690,74,33,Entrees
Chicken Tortilla Soup,190,23,7,Soups
"Ice Cream, Chocolate, (1) scoop",90,11,4,Desserts
"Add Ice Cream, Chocolate, (1) scoop",90,11,4,Desserts
Senior Pot Roast,630,72,31,Entrees
Rooty Jr.®,370,25,22,Kid's Meals
Add Hot Fudge,190,26,9,Kid's Meals
"Apple Juice, 10 fl oz",120,29,0,Drinks
"Grapefruit Juice, 16 fl oz",210,53,0,Drinks
"Milk Shake, Chocolate",480,57,24,Shakes
Bacon & Cheddar Hash Brown Stack with Fresh Fruit,770,57,49,Breakfast
The Lorax's Breakfast with (1) Rooty Tooty Bar-Ba-Looty Blueberry Cone Cake,1050,99,52,Kid's Meals
"Create Your Own Omelette, Plain",440,10,32,Breakfast
(3) Original Buttermilk Pancakes,490,69,18,Breakfast
Seasoned Hash Browns,320,31,20,Breakfast
Country/Chicken Fried Steak & Eggs w/Sausage Gravy,1680,145,95,Breakfast
Add Biscuits with Country Gravy and (4) Pork Sausage Links,850,60,58,Breakfast
Corned Beef Hash & Eggs,1110,91,61,Breakfast
Machaca,1270,60,90,Breakfast
Top Sirloin Steak & Eggs,1090,73,53,Breakfast
Two-Egg Cheese Omelette w/Two Buttermilk Pancakes,780,52,49,Breakfast
SIMPLE & FIT Whole Wheat French Toast Combo,490,56,15,Breakfast
"International Crepe Passport, Swedish",1030,48,77,Breakfast
"Pick-A-Pancake Combo, Original Buttermilk",880,80,50,Breakfast
Rooty Tooty Fresh ‘N Fruity®,750,51,45,Breakfast
Harvest Grain ‘N Nut® Pancakes (4),920,95,49,Breakfast
Chicken Noodle Soup,170,18,5,Soups
New England Clam Chowder,460,25,34,Soups
Pot Roast Melt,1040,82,53,Sandwiches
Bacon’N Beef™ Mega Mushroom Burger w/Bacon Patty,970,52,65,Burgers
New England Clam Chowder,460,25,34,Soups
Monster Mozza Sticks,770,68,38,Appetizers
T-Bone Steak 12 oz,760,40,41,Entrees
SIMPLE & FIT Grilled Balsamic-Glazed Chicken,440,25,22,Entrees
Chicken Noodle Soup,170,18,5,Soups
Add Hot Fudge,190,26,9,Desserts
Fruit Crepe w/Cinnamon Apple Compote,390,45,21,Desserts
"Add Ice Cream, Chocolate, (1) scoop",90,11,4,Desserts
Senior French Toast,640,59,36,Breakfast
Senior Pork Chop,610,55,27,Entrees
Cheese Omelette,520,27,35,Kid's Meals
Jr. Fish,150,7,3,Kid's Meals
"Flavored Coffee, Swiss Mocha",220,30,10,Coffee
"Cranberry Juice, Carafe",520,132,0,Drinks
"Tomato Juice, 12 fl oz (Kid’s Cup)",60,13,0,Drinks
"Sweet Tea, 10 fl oz",80,19,0,Drinks
Cheesy Western Omelette with Pancakes,1330,89,77,Breakfast
Pipsqueak's Breakfast with (1) Truffula Chip Pancake,430,46,17,Kid's Meals
"Create Your Own Omelette, Plain w/Egg Substitute",140,2,4,Breakfast
(3) Strawberry Pancakes,520,87,13,Breakfast
"SIMPLE & FIT Spinach, Mushroom & Tomato Omelette w/Fresh Fruit",330,31,12,Breakfast
Smokehouse Combo,1340,84,91,Breakfast
Big Country Breakfast,1130,104,62,Breakfast
Eggs Benedict,1020,80,57,Breakfast
Migas,1140,57,83,Breakfast
Classic Skillets,1460,102,97,Breakfast
"Create Your Own Viva La French Toast Combo, Original",1170,93,71,Breakfast
CINN-A-STACK® French Toast,1120,126,54,Breakfast
"International Crepe Passport, Strawberry Banana Danish",1000,68,67,Breakfast
"Pick-A-Pancake Combo, CINN-A-STACK®",1010,109,51,Breakfast
SIMPLE & FIT Blueberry Harvest Grain ‘N Nut® Combo,560,64,23,Breakfast
Original Buttermilk Pancakes (5),770,115,25,Breakfast
New England Clam Chowder,460,25,34,Soups
Minestrone Soup,170,28,2,Soups
Bacon Cheddar Chicken Sandwich,930,47,61,Sandwiches
Bacon’N Beef™ Mega Mushroom Burger w/Beef Patty,920,50,62,Burgers
Minestrone Soup,170,28,2,Soups
Onion Rings,1250,140,69,Appetizers
T-Bone Steak 16 oz,760,39,31,Entrees
Crispy Chicken Strips,1010,89,56,Entrees
New England Clam Chowder,460,25,34,Soups
Add Strawberry Topping,70,17,0,Desserts
Crispy Strawberry Banana Cheesecake,580,77,27,Desserts
SIMPLE & FIT Senior Buttermilk Pancakes (3),490,69,18,Breakfast
Senior Smoked Sausage Dinner,750,53,52,Entrees
Baby Cakes,210,25,6,Kid's Meals
Jr. Fresh Fruit Dish,80,21,0,Kid's Meals
Splashberry,140,35,0,Drinks
"Grapefruit Juice, 10 fl oz",120,30,0,Drinks
"Tomato Juice, 16 fl oz",90,18,0,Drinks
"Sweet Tea, 12 fl oz (Kid's Cup)",100,26,0,Drinks
Cheesy Western Omelette with Fresh Fruit,950,41,62,Breakfast
Pipsqueak's Breakfast with (1) Buttermilk Pancake,370,27,21,Kid's Meals
Big Steak Omelette,1220,54,82,Breakfast
(3) Strawberry Banana Pancakes,600,109,13,Breakfast
SIMPLE & FIT Turkey Bacon Omelette w/Fresh Fruit,420,25,20,Breakfast
Biscuits & Gravy Combo w/Country Gravy,1420,99,95,Breakfast
Add Country/Chicken Fried Steak & Sausage Gravy,800,65,45,Breakfast
Huevos Rancheros,1110,83,65,Breakfast
Migas with Chorizo,1400,59,103,Breakfast
"Create Your Own Viva La French Toast Combo, Strawberry Banana",1210,116,66,Breakfast
Original French Toast,920,88,50,Breakfast
"International Crepe Passport, Fresh Fruit",860,69,50,Breakfast
"Pick-A-Pancake Combo, Double Blueberry",1020,124,45,Breakfast
Two x Two x Two,560,49,31,Breakfast
Add (2) Pork Sausage Patties,300,0,27,Breakfast
"Original Buttermilk Pancakes, Short Stack (3)",490,69,18,Breakfast
Minestrone Soup,170,28,2,Soups
Chicken Tortilla Soup,190,23,7,Soups
Chicken Clubhouse Super Stacker,1180,55,81,Sandwiches
Monster Bacon’N Beef™ Cheeseburger w/Bacon Patty,1270,49,86,Burgers
Chicken Tortilla Soup,190,23,7,Soups
Seasoned Fries,590,87,24,Appetizers
Sirloin Steak Tips Dinner,800,69,40,Entrees
French Onion Pot Roast,790,73,39,Entrees
Minestrone Soup,170,28,2,Soups
"Ice Cream, Vanilla, (1) scoop",90,10,5,Desserts
"Add Ice Cream, Vanilla, (1) scoop",90,10,5,Desserts
Senior Grilled Tilapia Hollandaise,780,58,46,Entrees
Create-A-Face Pancake,410,71,10,Kid's Meals
"Kid’s Ice Cream Sundae (Ice Cream, Whipped Topping & Cherry)",130,13,7,Kid's Meals
Tropical Island Twist,180,47,0,Drinks
"Grapefruit Juice, 12 fl oz (Kid’s Cup)",150,38,0,Drinks
"Tomato Juice, Carafe",200,40,0,Drinks
"Sweet Tea, 16 fl oz",120,32,0,Drinks
Bacon & Cheddar Hash Brown Stack with Pancakes,1020,83,61,Breakfast
Mac 'N Cheese & Truffula Trees,400,68,9,Kid's Meals
Cheeseburger - Protein® Style (Bun replaced with Lettuce),330,11,25,Burgers
French Fries,395,54,18,French Fries
Hamburger w/Onion,390,39,19,Burgers
Chocolate Shake,590,72,29,Shakes
Double-Double® w/Onion,670,39,41,Burgers
Cheeseburger w/Mustard & Ketchup Instead of Spread,400,41,18,Burgers
Double-Double® w/Mustard & Ketchup Instead of Spread,590,41,32,Burgers
Double-Double® - Protein® Style (Bun replaced with Lettuce),520,11,39,Burgers
Hamburger - Protein® Style (Bun replaced with Lettuce),240,11,17,Burgers
Strawberry Shake,590,81,27,Shakes
Hamburger w/Mustard & Ketchup Instead of Spread,310,41,10,Burgers
Vanilla Shake,580,67,31,Shakes
Cheeseburger w/Onion,480,39,27,Burgers
Hamburger Deluxe,340,33,16,Burgers
Hamburger Deluxe with Cheese,420,34,23,Burgers
Sourdough Ultimate Cheeseburger™,870,38,63,Burgers
Fish and Chips (Seasonal) w/ large French Fries,990,112,50,Seafood
Chicken Club Salad w/ Grilled Chicken Strips**,370,13,20,Salads
Egg Roll 1 pc.,150,15,7,Sides
"Seasoned Curly Fries, large",580,63,34,French Fries
Hashbrown Sticks 5 pc.,280,26,19,Breakfast
Steak & Egg Burrito (no salsa),810,55,50,Breakfast
"Iced Coffee, Caramel (regular) 24 fl oz.",160,28,3,Coffee
New York Style Cheesecake,310,32,17,Desserts
"Chicken Strips, Crispy 2 pc.",280,26,12,Kid's Meals
Big Cheeseburger,570,43,34,Burgers
Grilled Chicken Strips w/ Teriyaki Dipping Sauce,310,16,8,Chicken
Hamburger Deluxe,340,33,16,Burgers
Sourdough Steak Melt,650,38,38,Burgers
Fish and Chips (Seasonal) w/ medium French Fries,830,90,43,Seafood
Chicken Club Salad w/ Crispy Chicken Strips**,520,37,28,Salads
Chiquita® Apple Bites with Caramel,70,17,0,Sides
"Seasoned Curly Fries, medium",430,46,25,French Fries
French Toast Sticks 4 pc.,600,68,33,Breakfast
Supreme Croissant,450,32,27,Breakfast
"Flavored Iced Tea, Raspberry 24 fl oz.",80,21,0,Drinks
Mini Churros 10 pc.,690,84,37,Desserts
Breakfast Jack®,280,30,11,Kid's Meals
Beef Taco (2 Tacos),390,33,22,Tacos
Side Salad,20,4,0,Salads
"Smoothie, Strawberry Banana 16 oz.",290,73,0,Shakes
Sirloin Cheeseburger,900,52,60,Burgers
Chicken Sandwich,410,42,21,Chicken
Jack’s Spicy Chicken® w/ Cheese,610,61,26,Sandwiches
Southwest Chicken Salad w/ Grilled Chicken Strips**,350,29,15,Salads
"French Fries, large",610,83,28,French Fries
"Bacon, Egg & Cheese Biscuit",430,35,25,Breakfast
Sausage Biscuit,460,35,30,Breakfast
Kona Classic® Coffee (decaf) 16 fl oz.,10,2,0,Coffee
"Smoothie, Strawberry 24 fl oz.",400,99,0,Shakes
"Shake, Oreo® Cookie w/ Whipped Topping 24 oz.",1170,134,61,Shakes
French Toast Sticks 2 pc.,300,34,16,Kid's Meals
Hamburger Deluxe,340,33,16,Burgers
Chicken Fajita Pita made w/ Whole Grain (no salsa),320,33,11,Chicken
Bacon Ultimate Cheeseburger™,920,45,63,Burgers
Sirloin Cheeseburger with Bacon,990,52,66,Burgers
Chicken Sandwich with Bacon,470,42,25,Chicken
Sourdough Grilled Chicken Club,540,38,26,Sandwiches
Bacon Ranch Dressing,260,3,26,Salads
Mozzarella Cheese Sticks 3 pc.,280,22,16,Sides
Breakfast Jack®,280,30,11,Breakfast
Sausage Breakfast Jack®,440,31,27,Breakfast
Kona Classic® Coffee (regular) 12 fl oz.,5,1,0,Coffee
"Smoothie, Strawberry Banana 16 fl oz.",290,73,0,Shakes
"Shake, Strawberry w/ Whipped Topping 16 oz.",780,95,38,Shakes
Grilled Cheese Sandwich,330,34,16,Kid's Meals
Hamburger Deluxe with Cheese,420,34,23,Burgers
Side Salad**,20,4,0,Salads
Jr. Bacon Cheeseburger,400,32,22,Burgers
Ultimate Cheeseburger™,830,44,57,Burgers
Fish Sandwich (Seasonal),650,61,37,Sandwiches
Grilled Chicken Salad**,250,15,10,Salads
Lite Ranch Dressing,150,3,15,Salads
Egg Roll 3 pc.,440,46,22,Sides
Stuffed Jalapeños 3 pc.,220,21,12,Sides
Hearty Breakfast Bowl,850,41,65,Breakfast
Steak & Egg Burrito (w/ salsa),820,56,50,Breakfast
"Iced Coffee, Original (regular) 24 fl oz.",170,29,3,Coffee
"Smoothie, Mango 16 fl oz.",290,72,0,Shakes
"Shake, Chocolate w/ Whipped Topping 16 oz.",800,101,38,Shakes
"Chicken Strips, Grilled 2 pc.",130,2,4,Kid's Meals
Chicken Sandwich,410,42,21,Sandwiches
"Smoothie, Strawberry 16 oz.",270,67,0,Shakes
Jumbo Jack® with Cheese,580,45,34,Burgers
Chicken Fajita Pita made w/ Whole Grain (w/ salsa),330,35,11,Chicken
Jack’s Spicy Chicken®,530,60,21,Sandwiches
Southwest Chicken Salad w/ Crispy Chicken Strips**,500,53,23,Salads
"French Fries, medium",450,61,21,French Fries
Bacon Breakfast Jack®,310,30,14,Breakfast
Meaty Breakfast Burrito (w/ salsa),620,40,37,Breakfast
Kona Classic® Coffee (decaf) 12 fl oz.,5,1,0,Coffee
"Smoothie, Strawberry 16 fl oz.",270,67,0,Shakes
"Shake, Oreo® Cookie w/ Whipped Topping 16 oz.",810,92,43,Shakes
French Fries (Kid’s),230,30,10,Kid's Meals
Grilled Cheese Sandwich,330,34,16,Sandwiches
"Smoothie, Mango 16 oz.",290,72,0,Shakes
Jumbo Jack®,500,45,27,Burgers
Chicken Fajita Pita made w/ Whole Grain (no salsa),320,33,11,Chicken
Homestyle Ranch Chicken Club,730,65,35,Sandwiches
Side Salad**,20,4,0,Salads
"French Fries, small",330,45,15,French Fries
Stuffed Jalapeños 7 pc.,510,49,29,Sides
Meaty Breakfast Burrito (no salsa),610,38,37,Breakfast
Ultimate Breakfast Sandwich,520,42,25,Breakfast
"Iced Coffee, Vanilla (regular) 24 fl oz.",170,30,3,Coffee
"Smoothie, Mango 24 fl oz.",450,114,0,Shakes
"Shake, Chocolate w/ Whipped Topping 24 oz.",1150,146,55,Shakes
Chiquita® Apple Bites with Caramel,70,17,0,Kid's Meals
Chicken Sandwich with Bacon,470,42,25,Sandwiches
Chicken Teriyaki Bowl,580,106,5,Chicken
Big Cheeseburger,570,43,34,Burgers
Sirloin Swiss & Grilled Onion Burger,880,52,59,Burgers
"Chicken Strips, Crispy 4 pc.",560,53,24,Chicken
Chicken Teriyaki Bowl,690,133,6,Chicken
Creamy Southwest Dressing,220,3,22,Salads
Spicy Corn Sticks,140,18,7,Salads
Mozzarella Cheese Sticks 6 pc.,560,43,33,Sides
Breakfast Pita Pocket,450,32,23,Breakfast
Sausage Croissant,570,32,40,Breakfast
Kona Classic® Coffee (regular) 16 fl oz.,10,2,0,Coffee
"Smoothie, Strawberry Banana 24 fl oz.",440,108,0,Shakes
"Shake, Strawberry w/ Whipped Topping 24 oz.",1120,138,54,Shakes
Hamburger,290,32,12,Kid's Meals
Jr. Bacon Cheeseburger,400,32,22,Burgers
Chiquita® Apple Bites with Caramel,70,17,0,Desserts
Hamburger,290,32,12,Burgers
Sirloin Swiss & Grilled Onion Burger with Bacon,970,52,65,Burgers
"Chicken Strips, Grilled 4 pc.",250,5,7,Chicken
"Grilled Sandwich, Deli Trio",620,54,29,Sandwiches
Bacon Cheddar Potato Wedges,680,58,42,Sides
Onion Rings,450,45,28,Sides
Grilled Breakfast Sandwich,620,53,29,Breakfast
"Sausage, Egg & Cheese Biscuit",570,36,38,Breakfast
"Flavored Iced Tea, Mango 24 fl oz.",80,21,0,Drinks
Chocolate Overload™ Cake,300,57,7,Desserts
"Shake, Vanilla w/ Whipped Topping 16 oz.",700,76,38,Shakes
Hamburger with Cheese,330,32,15,Kid's Meals
Jumbo Jack®,500,45,27,Burgers
Grilled Chicken Salad**,250,15,10,Salads
Hamburger with Cheese,330,32,15,Burgers
Sourdough Jack®,660,40,44,Burgers
Fish and Chips (Seasonal) w/ small French Fries,710,74,37,Seafood
"Grilled Sandwich, Turkey, Bacon & Cheddar",660,53,31,Sandwiches
Beef Taco (1 Taco),190,17,11,Sides
"Seasoned Curly Fries, small",280,30,16,French Fries
Extreme Sausage® Sandwich,660,32,47,Breakfast
Sourdough Breakfast Sandwich,410,35,21,Breakfast
"Flavored Iced Tea, Peach 24 fl oz.",80,20,0,Drinks
Mini Churros 5 pc.,350,42,18,Desserts
"Shake, Vanilla w/ Whipped Topping 24 oz.",1000,109,54,Shakes
Seasoned Curly Fries (Kid’s),200,21,11,Kid's Meals
Jumbo Jack® with Cheese,580,45,34,Burgers
Sea Salt & Vinegar Chips,140,16,8,Sides
Raspberry Iced Tea,312,84,0,Drinks
Thinny Chips,130,19,5,Sides
Slim 6 Double provolone,545,65,16,Sandwiches
Lemonade,388,104,0,Drinks
Regular Chips,160,18,8,Sides
Light Lemonade,20,4,0,Drinks
BBQ Jimmy Chips,160,17,9,Sides
Jalapeño Chips,150,18,7,Sides
Fried Oysters,1060,104,64,Appetizers
Caesar Salad - Shrimp,530,19,38,Salads
Fish & Chips,1430,99,92,Seafood
Big Shrimp Platter,1490,144,84,Seafood
Shrimp Pasta Alfredo,1650,158,85,Entrees
Joe's Classic Steampot,1210,70,75,Seafood
Blackened Mahi Sandwich,850,38,53,Sandwiches
Grilled Malibu Shrimp,540,55,19,Seafood
Sea Turtle Sundae,1240,167,57,Desserts
Rockin Popcorn Shrimp,470,19,39,Kid's Meals
Classic Sampler,1460,90,103,Appetizers
New England Clam Chowder,250,22,13,Appetizers
Classic Cobb Salad - Shrimp,650,39,39,Salads
Snapper Pontchartrain,1090,44,74,Seafood
Seaside Platter,1540,117,92,Seafood
Dungeness Crab - excluding side of butter,480,69,3,Seafood
Samuel Adams Steampot,1180,72,74,Seafood
Crab Cake Sandwich,810,40,61,Sandwiches
Add Snow Crab,260,0,23,Sides
Hush Puppies,700,94,34,Sides
Kid's Snow Crab,90,7,1,Kid's Meals
Celery & Ranch,150,6,13,Kid's Meals
Crab Nachos,2000,130,145,Appetizers
Seafood Fun-Do,1310,127,69,Appetizers
Classic Cobb Salad - Snow,630,38,38,Salads
Grilled Sunset Salmon,890,66,45,Seafood
Shrimp Trio,1050,96,53,Seafood
King Crab - excluding side of butter,430,68,3,Seafood
Sunset Fire-Grilled Steampot,1260,80,75,Seafood
Surf 'n Turf Burger,1260,67,85,Burgers
Broccoli Florets,80,6,6,Sides
Onion Strings,470,61,23,Sides
Captain's Catch,1060,78,70,Kid's Meals
Rice,200,36,4,Kid's Meals
Garlicky Mussels,880,81,42,Appetizers
Caesar Side Salad,220,8,18,Salads
Get Stuffed Snapper,830,48,43,Seafood
Caribbean Feast,1280,105,59,Seafood
Skillet Paella,1990,196,84,Entrees
Joe's Classic Steampot For 2 (Nutritionals for 1 serving),1210,70,75,Seafood
Chicken Club Sandwich - Blackened,990,36,71,Sandwiches
Popcorn Shrimp,990,98,54,Seafood
Shrimply Grilled Shrimp,310,40,8,Kid's Meals
French Fries,300,38,15,Kid's Meals
Double Dip,1260,96,81,Appetizers
Caesar Salad - Chicken,670,18,46,Salads
Crunchy Catfish,1440,123,94,Seafood
Ribeye,1150,26,82,Entrees
Pasta-laya,1820,161,94,Entrees
Bean Town Bake,1470,73,78,Seafood
The Orleans,1310,72,65,Seafood
Fish & Shrimp,1540,111,92,Seafood
Key Lime Wave,1230,162,55,Desserts
Fish Fingers,600,23,46,Kid's Meals
Paint a Crab,350,75,6,Kid's Meals
"Calamari, Fried",900,61,58,Appetizers
Great Balls of Fire,970,75,66,Appetizers
Chicken Chipotle Caesar,760,42,46,Salads
Maui Mahi,680,49,28,Seafood
East Coast Platter,2110,143,144,Seafood
Steak & Malibu Shrimp,660,48,22,Entrees
Old Bay Steampot,1200,72,74,Seafood
Chicken Club Sandwich - Grilled,790,36,49,Sandwiches
Add Coconut Shrimp,420,42,24,Sides
Ear of Corn,60,14,1,Sides
Mini Beach Burgers,760,68,41,Kid's Meals
Corn on the Cob,30,7,0,Kid's Meals
Clam Chowder,320,26,17,Appetizers
Mozzarella Sticks,710,68,36,Appetizers
Classic Cobb Salad - Chicken,790,38,46,Salads
Salmon Orleans,1000,34,65,Seafood
Fisherman's Platter,1970,137,129,Seafood
Crab Daddy Feast - excluding side of butter,510,69,4,Seafood
Garlic Herb,5,0,0,Seafood
Ragin' Cajun,1590,89,107,Seafood
Chipotle Bacon Cheeseburger,1010,47,68,Burgers
Add Fried Shrimp,330,27,17,Sides
French Fries,370,47,19,Sides
Mini Steampot,390,35,15,Kid's Meals
Apple Sauce,90,24,0,Kid's Meals
Crazy Good Crab Dip,1270,92,87,Appetizers
Aruba Shrimp Salad,860,60,61,Salads
House Side Salad,120,10,7,Salads
Homestyle Chicken Tenders,1450,93,81,Entrees
Crab Cake Dinner,1470,82,109,Entrees
Snow Crab - excluding side of butter,470,68,4,Seafood
The Diablo Steampot,1420,96,84,Seafood
Crab Stuffed Shrimp,710,48,37,Seafood
Coleslaw,110,13,7,Sides
Chocolate Shack Attack,1530,225,63,Desserts
Chicken Dippers,590,23,33,Kid's Meals
Strawberry Sundae,290,39,14,Kid's Meals
Crab Stuffed Mushrooms,800,76,40,Appetizers
Aruba Chicken Salad,780,37,49,Salads
Crab Cake Chipotle Caesar,970,52,72,Salads
Joe's Steak Deal,710,53,32,Entrees
The Big Hook Up,2750,220,168,Seafood
Lobster Daddy Feast - excluding side of butter,580,69,4,Seafood
Sunset Fire-Grilled Steampot For 2 (Nutritionals for 1 serving),1260,80,75,Seafood
Coconut Shrimp,1230,127,72,Seafood
Cheesy New Potatoes,250,19,15,Sides
Big Cheese Cheesecake,980,85,64,Desserts
Cheesy Mac,260,35,9,Kid's Meals
Veggies,40,3,3,Kid's Meals
Diablo Mussels,1060,89,54,Appetizers
Caesar Salad,450,18,37,Salads
Blackened Tilapia,1190,44,64,Seafood
Pan Fried Cheesy Chicken,1590,110,100,Entrees
Crawfish Half 'n Half,860,72,47,Entrees
Dipping Butter,400,0,44,Seafood
Spicy Boil,5,1,0,Seafood
